bear_id,date,num_points,centroid_x,centroid_y,min_x,max_x,min_y,max_y,sex,age,season,total_distance,avg_speed
Bear10,2013-05-02,22,419001.35300000006,685860.3397136364,418235.1004,422502.4491,684781.4189,688094.796,M,A,Den exit and reproduction,7258.029928736851,345.6204727969929
Bear10,2013-05-03,19,428382.1643894737,687566.614505263,423670.7123,430623.5042,685399.4849,688966.8666,M,A,Den exit and reproduction,12523.693365358862,695.7607425199368
Bear10,2013-05-04,19,429793.38849473686,684605.4834842106,429311.2611,430585.8711,684247.9264,685396.0013,M,A,Den exit and reproduction,3692.472242215728,205.13734678976266
Bear10,2013-05-05,23,430310.37716956524,684472.8571565218,430285.573,430381.1094,684445.3844,684505.5436,M,A,Den exit and reproduction,463.2472077294839,21.056691260431084
Bear10,2013-05-06,22,430309.0193590909,684474.3136727273,430285.6052,430338.0313,684385.0213,684558.146,M,A,Den exit and reproduction,719.5752498325581,34.26548808726467
Bear10,2013-05-07,21,430311.1648238095,684477.5226809524,430293.865,430372.572,684453.0327,684500.1016,M,A,Den exit and reproduction,389.3988139767504,19.46994069883752
Bear10,2013-05-08,23,430304.288073913,684466.3897217391,430278.8899,430357.8876,684355.5551,684521.7877,M,A,Den exit and reproduction,729.3765457862744,33.15347935392156
Bear10,2013-05-09,23,430318.5900304347,684475.402004348,430290.5318,430421.7166,684451.1445,684564.093,M,A,Den exit and reproduction,792.7232265296224,36.03287393316465
Bear10,2013-05-10,24,430213.7234375,685017.9941333333,429240.5616,430338.6673,684380.9764,688854.5742,M,A,Den exit and reproduction,5383.955564230082,234.0850245317427
Bear10,2013-05-11,21,427949.5956523811,690359.4087904762,426712.9407,429084.0604,688981.0458,694121.7913,M,A,Den exit and reproduction,11239.385648829597,561.9692824414799
Bear10,2013-05-12,21,427615.72209523804,690280.5467047619,426928.0986,428921.8153,685769.2599,692433.274,M,A,Den exit and reproduction,11039.556719777514,551.9778359888758
Bear10,2013-05-13,18,423932.5830888889,681944.6079277778,419909.7378,427088.7494,680371.0478,684981.562,M,A,Den exit and reproduction,11823.580305515396,695.5047238538468
Bear10,2013-05-14,13,419282.9289538462,683808.6204692307,416883.5359,420182.2349,682088.059,684785.9203,M,A,Den exit and reproduction,8544.778008316234,712.0648340263529
Bear10,2012-11-21,23,418002.8134043478,681949.0112391304,417657.8756,418753.9706,681557.3085,682253.721,M,A,Winter sleep,2853.8074871280282,129.7185221421831
Bear10,2012-11-30,23,420062.70896521746,684542.9262782609,419567.9621,421714.5886,683190.3153,684837.5616,M,A,Winter sleep,3108.315632938832,141.28707422449236
Bear10,2012-12-02,22,421493.3411954546,682218.1759545454,421342.9968,421901.6222,681611.2173,682692.2466,M,A,Winter sleep,2998.322926185525,142.77728219931072
Bear10,2012-12-03,22,420645.0124500001,683688.3254999999,419569.6818,422391.9577,682688.3412,684248.9678,M,A,Winter sleep,6309.273320015474,300.44158666740356
Bear10,2012-12-04,23,421622.1899,683126.4752739129,421281.1537,422397.4167,682842.9433,683240.0304,M,A,Winter sleep,2501.226951201864,113.69213414553927
Bear10,2012-12-05,20,419912.1380899999,684088.3044200001,419635.2099,422476.5959,683017.2553,684269.4454,M,A,Winter sleep,3265.302976135086,171.85805137553083
Bear10,2012-12-07,24,419753.3819,684816.4930375,419750.1199,419757.0727,684811.3138,684822.4839,M,A,Winter sleep,79.4136416658308,3.452767028949165
Bear10,2012-12-08,20,419752.96508,684823.9370650001,419739.7625,419790.5832,684814.2112,684844.2158,M,A,Winter sleep,184.68490571709168,9.720258195636404
Bear10,2012-12-12,10,419740.01077000005,684839.8097900001,419719.4791,419766.1867,684832.1969,684849.474,M,A,Winter sleep,115.60055907235099,12.844506563594555
Bear10,2012-12-13,14,419741.06487142853,684839.5824071429,419733.2264,419755.6312,684834.0061,684845.0417,M,A,Winter sleep,98.08061395819696,7.544662612168997
Bear10,2012-12-14,10,419742.2251700001,684841.60986,419728.1091,419771.9847,684836.0764,684858.1794,M,A,Winter sleep,70.2619358942328,7.806881766025867
Bear10,2012-12-15,17,419737.2977,684838.5754411765,419727.0576,419748.053,684833.408,684850.1834,M,A,Winter sleep,126.32109642829026,7.895068526768141
Bear10,2012-12-16,12,419742.08622500004,684841.0319249999,419721.397,419777.904,684828.3292,684860.345,M,A,Winter sleep,207.41552276989376,18.855956615444885
Bear10,2012-12-17,13,419739.5751153846,684836.2776846155,419723.7483,419752.2835,684825.9653,684841.3794,M,A,Winter sleep,110.76768119241909,9.230640099368257
Bear10,2012-12-18,11,419740.2311363636,684840.0030909091,419733.0594,419760.8404,684835.0328,684844.6871,M,A,Winter sleep,68.76091529878445,6.876091529878446
Bear10,2012-12-19,10,419747.62691,684838.59409,419722.458,419776.0338,684822.0853,684848.7951,M,A,Winter sleep,162.20306565954087,18.022562851060098
Bear10,2012-12-21,7,419734.04255714285,684839.1292571429,419705.2527,419742.7962,684835.5062,684841.8791,M,A,Winter sleep,66.35938340043901,11.059897233406502
Bear10,2012-12-22,12,419749.2482833333,684838.2369333333,419737.5303,419767.149,684821.9402,684846.4396,M,A,Winter sleep,120.12061314409034,10.920055740371849
Bear10,2012-12-23,7,419738.3018428571,684842.0956857142,419724.2364,419744.4373,684836.88,684845.5561,M,A,Winter sleep,42.32457460813055,7.0540957680217575
Bear10,2012-12-24,6,419746.3257833333,684838.59735,419740.1405,419753.8602,684836.2076,684842.0102,M,A,Winter sleep,37.99554864122403,7.599109728244807
Bear10,2012-12-25,7,419752.59215714276,684837.3293571428,419741.2377,419790.0351,684816.6472,684844.3241,M,A,Winter sleep,146.93782638502688,24.489637730837813
Bear10,2012-12-26,7,419728.8723714286,684842.0813428571,419647.3119,419762.9031,684834.9935,684847.4694,M,A,Winter sleep,310.9747972982036,51.829132883033935
Bear10,2012-12-27,4,419749.25227500004,684844.4174,419738.9327,419760.1299,684843.2351,684845.4516,M,A,Winter sleep,40.23032299241308,13.410107664137692
Bear10,2012-12-28,13,419739.5842923076,684838.5621923078,419687.9831,419762.6189,684818.8734,684845.6617,M,A,Winter sleep,208.97891864836328,17.414909887363606
Bear10,2012-12-29,8,419727.0320125,684841.0897875,419614.8581,419756.9767,684837.1398,684849.1242,M,A,Winter sleep,298.7610146951545,42.68014495645064
Bear10,2012-12-30,7,419735.83027142857,684837.2988,419722.4121,419744.705,684823.0613,684844.2515,M,A,Winter sleep,76.8360767067424,12.806012784457067
